ID,Order,Family,Family name,Common name,Scientific name,IUCN Status,ABA Status,CA List,Life list date,Life list location,US,CA,ABA,World Obs (Oct 2025),US Obs (Oct 2025),CA Obs (Oct 2025),Range,Featured,Order Target,Location
8472,PASSERIFORMES,Leiothrichidae,Laughingthrushes and Allies,Brown Babbler,Turdoides plebejus,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,459",0,0,,,,
269,GALLIFORMES,Cracidae,"Guans, Chachalacas, and Curassows",Yungas Guan,Penelope bridgesi,UN,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,455",0,0,east slope of Andes of Bolivia to northwestern Argentina,,,
3375,CORACIIFORMES,Meropidae,Bee-eaters,Blue-tailed Bee-eater,Merops philippinus,LC,,,1/2/2018,IN-KL,,,,"339,987",0,0,"breeds northern Pakistan eastward to southeastern China and Philippines, and southward in Central India and southern Sri Lanka, and eastward in Wallacea through New Guinea and New Britain; winters to southern India, Sri Lanka, Malayan Peninsula, and Greater Sundas",,,
3376,CORACIIFORMES,Meropidae,Bee-eaters,Rainbow Bee-eater,Merops ornatus,LC,,,10/11/2024,AU-VIC,,,,"270,860",0,0,"breeds in eastern New Guinea and Australia, including Rottnest Island (off southwestern Australia), and islands in Torres Strait; winters mainly north of breeding range in New Guinea region and westward to Wallacea",,,
7438,PASSERIFORMES,Cisticolidae,Cisticolas and Allies,Hill Prinia,Prinia superciliaris,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,444",0,0,,,,
11108,PASSERIFORMES,Thraupidae,Tanagers and Allies,Paramo Seedeater,Catamenia homochroa,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,433",0,0,,,,
10338,PASSERIFORMES,Emberizidae,Old World Buntings,Yellow-breasted Bunting,Emberiza aureola,CR,ABA 4,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,423",0,0,,,,
6031,PASSERIFORMES,Meliphagidae,Honeyeaters,Micronesian Myzomela,Myzomela rubratra,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,409",0,0,,,,
5375,PASSERIFORMES,Tityridae,Tityras and Allies,Brown-winged Schiffornis,Schiffornis turdina,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,388",0,0,,,,
2214,CHARADRIIFORMES,Laridae,"Gulls, Terns, and Skimmers",Red-legged Kittiwake,Rissa brevirostris,VU,ABA 2,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,375","10,083",0,"breeds Commander Islands (southeastern Russia), Aleutian, and Pribilof islands, and St. Matthew Island (northern Bering Sea); winters Bering Sea to ice-edge and south of Aleutian Islands",,,
5582,PASSERIFORMES,Tyrannidae,Tyrant Flycatchers,Small-headed Elaenia,Elaenia sordida,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,368",0,0,southeastern Brazil (Rio de Janeiro) to eastern Paraguay and northeastern Argentina,,,
10988,PASSERIFORMES,Thraupidae,Tanagers and Allies,Deep-blue Flowerpiercer,Diglossa glauca,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,363",0,0,,,,
7980,PASSERIFORMES,Phylloscopidae,Leaf Warblers,Claudia's Leaf Warbler,Phylloscopus claudiae,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,347",0,0,breeds mountains of western China to eastern Tibet; winters to southern China and southeastern Asia,,,
10227,PASSERIFORMES,Fringillidae,"Finches, Euphonias, and Allies",White-bellied Canary,Crithagra dorsostriata,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,341",0,0,,,,
5459,PASSERIFORMES,Tyrannidae,Tyrant Flycatchers,Rufous-headed Pygmy-Tyrant,Pseudotriccus ruficeps,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,339",0,0,Andes of Colombia to western Bolivia (La Paz and Cochabamba),,,
6904,PASSERIFORMES,Laniidae,Shrikes,Yellow-billed Shrike,Corvinella corvina,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,337",0,0,,,,
3389,CORACIIFORMES,Momotidae,Motmots,Russet-crowned Motmot,Momotus mexicanus,LC,,,1/12/2024,MX-JAL,,,,"30,119",0,0,,,,
4643,PASSERIFORMES,Thamnophilidae,Typical Antbirds,Large-billed Antwren,Herpsilochmus longirostris,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,336",0,0,Brazilian plateau (Piauí to Mato Grosso do Sul) and northeastern Bolivia,,,
3391,CORACIIFORMES,Momotidae,Motmots,Lesson's Motmot,Momotus lessonii,LC,,,1/20/2023,CR-P,,,,"260,889",0,0,,,,
6839,PASSERIFORMES,Monarchidae,Monarch Flycatchers,White-eared Monarch,Carterornis leucotis,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,335",0,0,"northeastern Australia (northern Cape York Peninsula, Queensland to Ballina, northeastern New South Wales but sometimes further south)",,,
6906,PASSERIFORMES,Laniidae,Shrikes,Tiger Shrike,Lanius tigrinus,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,329",0,0,"breeds northeastern Asia; winters to southeastern Asia, Greater Sundas, and Philippines",,,
1130,CAPRIMULGIFORMES,Caprimulgidae,Nightjars and Allies,Great Eared-Nightjar,Lyncornis macrotis,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,323",0,0,,,,
3992,FALCONIFORMES,Falconidae,Falcons and Caracaras,Carunculated Caracara,Daptrius carunculatus,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,317",0,0,páramo of southwestern Colombia and Ecuador,,,
3396,CORACIIFORMES,Momotidae,Motmots,Rufous Motmot,Baryphthengus martii,LC,,,1/16/2023,CR-H,,,,"96,365",0,0,,,,
